#Types Before Cut: 11101
#Types After Cut: 9703
#Search Hits: 0
337	18	24.169	тему
338	19	24.129	слово
339	13	23.714	маленький
340	13	23.714	машина
341	13	23.714	смотреть
342	9	23.709	n
343	9	23.709	ар
344	9	23.709	видишь
345	9	23.709	грустный
346	9	23.709	двенадцать
347	9	23.709	двести
348	9	23.709	женщина
349	9	23.709	кошки
350	9	23.709	папа
351	9	23.709	переехали
352	9	23.709	подожди
353	9	23.709	смесь
354	9	23.709	танцами
355	9	23.709	твой
356	9	23.709	учителя
357	9	23.709	чай
358	9	23.709	эмм
359	35	23.108	четыре
360	14	22.908	d
361	14	22.908	вещи
362	14	22.908	домой
363	14	22.908	хотелось
364	11	22.718	квартире
365	29	22.604	старший
366	36	22.598	одна
367	21	22.573	долго
368	20	22.377	друг
369	16	22.216	девять
370	18	22.137	русский
371	17	22.124	кем
372	30	21.900	чего
373	27	21.783	каждый
374	27	21.783	слова
375	29	21.464	сама
376	12	21.377	нравятся
377	8	21.075	acc
378	8	21.075	komm
379	8	21.075	nom
380	8	21.075	ааa
381	8	21.075	английский
382	8	21.075	брови
383	8	21.075	вертолет
384	8	21.075	говорящийа
385	8	21.075	говорящийб
386	8	21.075	грустно
387	8	21.075	делаешь
388	8	21.075	егэ
389	8	21.075	звук
390	8	21.075	иду
391	8	21.075	интересного
392	8	21.075	колесико
393	8	21.075	любишь
394	8	21.075	лёва
395	8	21.075	мамой
396	8	21.075	мемы
397	8	21.075	моих
398	8	21.075	надя
399	8	21.075	неудобно
400	8	21.075	никит
401	8	21.075	одиннадцать
402	8	21.075	поехал
403	8	21.075	прихожу
404	8	21.075	смотрел
405	8	21.075	смотрела
406	8	21.075	студентов
407	8	21.075	типо
408	8	21.075	умер
409	8	21.075	учился
410	8	21.075	учится
411	8	21.075	хе
412	8	21.075	эт
413	28	21.033	совсем
414	13	20.675	бывает
415	13	20.675	говорила
416	13	20.675	какими
417	13	20.675	специально
418	19	20.501	павел
419	14	20.306	мои
420	14	20.306	надеюсь
421	10	20.265	интересные
422	10	20.265	рассказывала
423	40	20.193	говорить
424	11	19.063	будто
425	11	19.063	знаете
426	11	19.063	отец
427	11	19.063	пошел
428	19	18.927	хотел
429	12	18.471	делали
430	12	18.471	купить
431	12	18.471	семье
432	7	18.441	бабушкой
433	7	18.441	боже
434	7	18.441	буквы
435	7	18.441	детство
436	7	18.441	детьми
437	7	18.441	друзьями
438	7	18.441	ездить
439	7	18.441	ехали
440	7	18.441	живёт
441	7	18.441	забыла
442	7	18.441	задание
443	7	18.441	карл
444	7	18.441	красивый
445	7	18.441	ненавижу
446	7	18.441	нету
447	7	18.441	ноль
448	7	18.441	одни
449	7	18.441	парень
450	7	18.441	понравилась
451	7	18.441	пошёл
452	7	18.441	пытаюсь
453	7	18.441	секунд
454	7	18.441	скажи
455	7	18.441	сорок
456	7	18.441	супер
457	7	18.441	троих
458	7	18.441	троллейбус
459	7	18.441	человечек
460	7	18.441	читаю
461	7	18.441	чё
462	27	18.435	ей
463	16	18.248	реально
464	16	18.248	уж
465	13	18.191	другую
466	13	18.191	улице
467	153	18.104	еще
468	9	17.831	брали
469	9	17.831	друзей
470	9	17.831	едем
471	9	17.831	жил
472	9	17.831	институте
473	9	17.831	историю
474	9	17.831	маленькая
475	9	17.831	мое
476	9	17.831	нечего
477	9	17.831	смеется
478	9	17.831	твоя
479	17	16.856	разные
480	78	16.783	больше
481	10	16.778	мной
482	10	16.778	написано
483	23	16.644	равно
484	29	16.529	соответственно
485	25	16.506	лучше
486	11	16.301	посмотреть
487	11	16.301	скажем
488	11	16.301	считаю
489	19	16.156	говоря
490	64	16.105	тогда
491	13	16.095	языка
492	6	15.806	distinct
493	6	15.806	part
494	6	15.806	автобус
495	6	15.806	автобусе
496	6	15.806	ам
497	6	15.806	антифриз
498	6	15.806	бабуля
499	6	15.806	бабушки
500	6	15.806	бешбармак
501	6	15.806	бутово
502	6	15.806	вау
503	6	15.806	верно
504	6	15.806	волосы
505	6	15.806	восемнадцать
506	6	15.806	выпускной
507	6	15.806	вышла
508	6	15.806	гончар
509	6	15.806	готовился
510	6	15.806	жигули
511	6	15.806	загрузили
512	6	15.806	запомнила
513	6	15.806	играли
514	6	15.806	идёт
515	6	15.806	книги
516	6	15.806	колесо
517	6	15.806	коллектив
518	6	15.806	кормила
519	6	15.806	красиво
520	6	15.806	культура
521	6	15.806	лагере
522	6	15.806	лингвистике
523	6	15.806	литературу
524	6	15.806	лук
525	6	15.806	любил
526	6	15.806	любимый
527	6	15.806	математике
528	6	15.806	мгм
529	6	15.806	мем
530	6	15.806	молодец
531	6	15.806	мужик
532	6	15.806	немец
533	6	15.806	ногой
534	6	15.806	обед
535	6	15.806	орешки
536	6	15.806	погрей
537	6	15.806	подумала
538	6	15.806	покупайте
539	6	15.806	полу
540	6	15.806	польский
541	6	15.806	понравился
542	6	15.806	поступил
543	6	15.806	преподаватели
544	6	15.806	причём
545	6	15.806	пятёрка
546	6	15.806	саш
547	6	15.806	семьдесят
548	6	15.806	слышно
549	6	15.806	снимали
550	6	15.806	снимать
551	6	15.806	спал
552	6	15.806	спрашивают
553	6	15.806	спросить
554	6	15.806	студенты
555	6	15.806	сынок
556	6	15.806	убирай
557	6	15.806	учителей
558	6	15.806	учителем
559	6	15.806	худи
560	6	15.806	чувак
561	6	15.806	шёл
562	6	15.806	щас
563	6	15.806	этаж
564	6	15.806	эх
565	21	15.775	виктор
566	17	15.427	заниматься
567	8	15.420	дверь
568	8	15.420	замечательно
569	8	15.420	интересный
570	8	15.420	паре
571	8	15.420	работала
572	8	15.420	родителей
573	16	15.092	естественно
574	24	15.065	понятно
575	73	14.751	поэтому
576	9	14.526	берут
577	9	14.526	какого
578	9	14.526	машине
579	9	14.526	можете
580	9	14.526	половиной
581	9	14.526	тяжело
582	9	14.526	часа
583	18	14.522	е
584	18	14.522	разных
585	13	14.290	завтра
586	13	14.290	минус
587	13	14.290	спокойно
588	50	14.283	него
589	20	14.239	каких
590	10	14.169	пришла
591	12	14.134	друзья
592	355	14.123	но
593	16	13.740	наша
594	16	13.740	совершенно
595	26	13.404	плюс
596	15	13.373	метро
597	18	13.361	дом
598	18	13.361	каким
599	18	13.361	сначала
600	24	13.263	чуть
601	5	13.172	num
602	5	13.172	арахис
603	5	13.172	бабушку
604	5	13.172	баллов
605	5	13.172	венера
606	5	13.172	вернее
607	5	13.172	видела
608	5	13.172	вкусный
609	5	13.172	вложил
610	5	13.172	вырезать
611	5	13.172	выставках
612	5	13.172	вышло
613	5	13.172	гешу
614	5	13.172	голову
615	5	13.172	горбачёв
616	5	13.172	гости
617	5	13.172	грязь
618	5	13.172	гэкаю
619	5	13.172	двадцати
620	5	13.172	делаем
621	5	13.172	доехали
622	5	13.172	ездила
623	5	13.172	ездит
624	5	13.172	ест
625	5	13.172	жестко
626	5	13.172	жесть
627	5	13.172	живу
628	5	13.172	жила
629	5	13.172	зашли
630	5	13.172	идешь
631	5	13.172	ии
632	5	13.172	ильямихайлович
633	5	13.172	имею
634	5	13.172	инопланетян
635	5	13.172	итак
636	5	13.172	камеру
637	5	13.172	каракатицах
638	5	13.172	картинки
639	5	13.172	кили
640	5	13.172	килограмм
641	5	13.172	классов
642	5	13.172	комнате
643	5	13.172	коридоре
644	5	13.172	красивые
645	5	13.172	крестик
646	5	13.172	крысу
647	5	13.172	лекцию
648	5	13.172	лилии
649	5	13.172	лингвисты
